Date,Time,Visitor,G_Visitor,Home,G_Home,OT_SO,Attendance,LOG,Notes,Day
2021-11-14,17:00:00,Calgary Flames,4,Ottawa Senators,0,,10244.0,2:27,,Sunday
2021-11-14,19:00:00,Edmonton Oilers,5,St. Louis Blues,4,,18096.0,2:32,,Sunday
2021-11-14,19:00:00,Pittsburgh Penguins,1,Washington Capitals,6,,18573.0,2:21,,Sunday
2021-11-15,19:00:00,Detroit Red Wings,3,Columbus Blue Jackets,5,,15293.0,2:23,,Monday
2021-11-15,19:00:00,New York Islanders,1,Tampa Bay Lightning,4,,19092.0,2:35,,Monday
2021-11-16,22:00:00,Washington Capitals,2,Anaheim Ducks,3,OT,13456.0,2:30,,Tuesday
2021-11-16,20:30:00,Detroit Red Wings,2,Dallas Stars,5,,17764.0,2:24,,Tuesday
2021-11-16,19:00:00,New York Islanders,1,Florida Panthers,6,,14003.0,2:24,,Tuesday
2021-11-16,20:00:00,San Jose Sharks,4,Minnesota Wild,1,,15367.0,2:23,,Tuesday
2021-11-16,19:00:00,Montreal Canadiens,2,New York Rangers,3,,15255.0,2:26,,Tuesday
2021-11-16,19:00:00,Calgary Flames,1,Philadelphia Flyers,2,OT,16278.0,2:41,,Tuesday
2021-11-16,19:00:00,Buffalo Sabres,2,Pittsburgh Penguins,1,,16366.0,2:30,,Tuesday
2021-11-16,20:00:00,Arizona Coyotes,3,St. Louis Blues,2,,16738.0,2:26,,Tuesday
2021-11-16,19:00:00,Nashville Predators,0,Toronto Maple Leafs,3,,18949.0,2:27,,Tuesday
2021-11-16,22:00:00,Carolina Hurricanes,4,Vegas Golden Knights,2,,17737.0,2:34,,Tuesday
2021-11-16,20:00:00,Edmonton Oilers,2,Winnipeg Jets,5,,13473.0,2:28,,Tuesday
2021-11-17,22:30:00,Washington Capitals,2,Los Angeles Kings,0,,14694.0,2:31,,Wednesday
2021-11-17,22:00:00,Chicago Blackhawks,4,Seattle Kraken,2,,17151.0,2:22,,Wednesday
2021-11-17,21:00:00,Colorado Avalanche,4,Vancouver Canucks,2,,18361.0,2:34,,Wednesday
2021-11-18,22:00:00,Carolina Hurricanes,2,Anaheim Ducks,1,,12379.0,2:27,,Thursday
2021-11-18,21:00:00,Columbus Blue Jackets,5,Arizona Coyotes,4,SO,7865.0,2:39,,Thursday
2021-11-18,19:00:00,Calgary Flames,5,Buffalo Sabres,0,,7753.0,2:16,,Thursday
2021-11-18,21:00:00,Winnipeg Jets,1,Edmonton Oilers,2,SO,15273.0,2:42,,Thursday
2021-11-18,19:00:00,New Jersey Devils,1,Florida Panthers,4,,12157.0,2:22,,Thursday
2021-11-18,20:00:00,Dallas Stars,2,Minnesota Wild,7,,17088.0,2:32,,Thursday
2021-11-18,19:00:00,Pittsburgh Penguins,6,Montreal Canadiens,0,,20712.0,2:12,,Thursday
2021-11-18,19:00:00,Tampa Bay Lightning,4,Philadelphia Flyers,3,SO,18243.0,2:36,,Thursday
2021-11-18,20:00:00,San Jose Sharks,1,St. Louis Blues,4,,16953.0,2:27,,Thursday
2021-11-18,19:00:00,New York Rangers,1,Toronto Maple Leafs,2,,19029.0,2:18,,Thursday
2021-11-18,22:00:00,Detroit Red Wings,2,Vegas Golden Knights,5,,18002.0,2:20,,Thursday
2021-11-19,22:00:00,Colorado Avalanche,7,Seattle Kraken,3,,17151.0,2:35,,Friday
2021-11-19,22:00:00,Winnipeg Jets,2,Vancouver Canucks,3,,18628.0,2:22,,Friday
2021-11-20,20:00:00,Detroit Red Wings,1,Arizona Coyotes,2,OT,12906.0,2:20,,Saturday
2021-11-20,20:00:00,St. Louis Blues,1,Dallas Stars,4,,18532.0,2:30,,Saturday
